Name,NACA 4412
Chord(mm),120
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),20
,
Airfoil surface,
X(mm),Y(mm)
112.709759,41.189009
106.521635,40.647914
100.374554,39.994056
88.203517,38.34805
76.188442,36.273544
64.317016,33.804368
52.609759,30.884139
41.083089,27.467752
29.823194,23.318405
24.328687,20.871613
18.94089,18.131638
13.67622,15.053372
8.571616,11.535331
6.09319,9.573337
3.696849,7.385816
1.42774,4.84873
0.408104,3.26445
0,0
1.996445,-1.099482
3.619405,-1.17282
6.660112,-0.755681
9.581796,-0.011528
12.450125,0.879217
18.096489,2.908785
23.677185,5.118774
29.216839,7.441526
34.756493,9.764279
45.844009,14.387231
56.956151,18.942525
68.068293,23.497819
79.200956,27.996732
90.370557,32.394158
101.577096,36.690097
107.190627,38.809875
112.81647,40.895825
,
Camber line,
X(mm),Y(mm)
0,0
1.202275,1.082484
2.523572,1.837955
5.178481,3.315068
7.837493,4.780904
10.51087,6.207274
15.886355,8.981079
21.309038,11.625206
26.772763,14.15657
32.289844,16.541342
43.463549,20.927491
54.782955,24.913332
66.192654,28.651094
77.694699,32.135138
89.287037,35.371104
100.975825,38.342076
106.856131,39.728895
112.763114,41.042417
,
Chord line,
X(mm),Y(mm)
0,0
112.763114,41.042417
